"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000241287",1.55125758290802,-9.71152990710736,3.23711706745436,0.0021077062777671,0.00691881247056481,-1.83042986386375
"ENSG00000243453",-1.76173888495411,-9.59643940941911,-3.21188191917354,0.00226788573497406,0.00736126980117972,-2.05158760926023
"ENSG00000264338",-1.69534452744922,-5.31157081661821,-3.1814450087899,0.00247635104672358,0.0079283552728403,-2.2234717710235
"ENSG00000202343",2.20414525384319,-11.0321800961397,3.15933637721202,0.00263894649657267,0.00834777856407415,-1.8882659714353
"ENSG00000164879",2.04518699572357,-9.94413472817836,3.14370450304293,0.00275991258753767,0.00868494264381272,-2.03231122409895
"ENSG00000212607",1.7869899889088,-11.2317263578078,3.08430131051381,0.00326876911865523,0.00999062977870568,-2.08369066910223
"ENSG00000273149",2.02434898190071,-10.0283220947378,3.0806119485506,0.00330311092831988,0.0100755607699887,-2.18939623877113
"ENSG00000264049",3.64831764793734,-10.4884061092985,3.0770335336422,0.00333674279639774,0.0101579941367925,-2.10053935314433
"ENSG00000206991",2.50631638777336,-10.0960854287637,2.99577743254087,0.00419240886539781,0.0122894481405343,-2.37617299348963
"ENSG00000207304",2.69915785637154,-11.4375729232279,2.99288835870036,0.00422631135580205,0.0123652510965343,-2.29632645394715
"ENSG00000198744",-8.12274421041816,9.71202164922866,-2.97379432728375,0.00445688745517425,0.0129169535140448,-2.26035265699721
"ENSG00000264772",1.92114193842385,-10.7325014413903,2.9418557213439,0.00486896110287705,0.0138828192902974,-2.48272036681449
"ENSG00000264281",-2.0361012538059,-9.33663720226635,-2.9403621713323,0.00488907311336844,0.0139307692367605,-2.78463190524636
"ENSG00000207561",3.15388161100084,-11.0252142739218,2.93398341273068,0.00497584229751885,0.0141312511852028,-2.45279590291332
"ENSG00000207770",3.28045191410994,-10.4530743666956,2.91631037036208,0.00522378687581217,0.0147429005101568,-2.50802895915418
"ENSG00000258978",1.56601046663427,-11.3217155453451,2.82616528149733,0.00667693504121896,0.0180835439593296,-2.7294896574346
"ENSG00000125633",7.60289551183985,-1.86303967025199,2.80036623292055,0.00715699631227327,0.0191626321594697,-3.16185137383731
"ENSG00000004799",1.53824510089069,-3.83180506047149,2.76398606824039,0.00788825629567339,0.0207947470329124,-3.29108178303664
"ENSG00000238465",1.71187784306946,-8.26314603408461,2.75433881821087,0.00809340741534295,0.021254286580066,-3.19925699634306
"ENSG00000256618",-1.97167546836856,-7.90023164004191,-2.75351097823933,0.00811123865671365,0.0212929458124316,-3.31972201747389
"ENSG00000223877",2.00413762165737,-10.9017641206572,2.74383447214075,0.00832236582597844,0.0217540757217718,-2.94526779817332
"ENSG00000240409",-11.6306439416016,6.7325008999571,-2.70452789869473,0.00923301211961097,0.0236252788553096,-2.93177096540307
"ENSG00000259613",1.99140438481879,-8.9263595940133,2.68989106818509,0.00959488043918705,0.0244439625048346,-3.27035355243896
"ENSG00000248527",-11.8322925818007,6.46141556942856,-2.65028630864515,0.0106402299064166,0.0266849959880485,-3.06064928074319
"ENSG00000273493",1.507474580565,-11.9550509284869,2.59912562594699,0.0121447129830118,0.0297588729719386,-3.22314654944478
"ENSG00000134240",-1.54476517360334,-9.68620042479309,-2.58758779811231,0.0125097675352647,0.0305006745658681,-3.60062780594776
"ENSG00000267952",1.66238561824533,-11.4240640647587,2.57573656836962,0.0128951217662462,0.0312375596890115,-3.30192177175312
"ENSG00000222328",1.58583218477294,-10.7986051867892,2.55892240401045,0.0134604048311988,0.0323566319972143,-3.40318528344367
"ENSG00000252558",-1.69224134610343,-8.02204426966516,-2.55210408004159,0.0136959860298706,0.0328528822342044,-3.79002483417802
"ENSG00000099250",-6.54287686048095,-2.46330793374894,-2.53244620422975,0.0143963126843234,0.0342317271941217,-3.66893920457435
